"business_id","cool","date_time","funny","review_id","star_review","text","useful","user_id","tokens","date"
"5xdKUuu4DbJ71KGbwRXfFg",0,"2016-10-12 01:07:38",0.0,"C0ToAnxRls2hvt-XO5qFRQ",5.0,"This is one of my favorite ramen places now besides Monta Chaya. But I probably love this place more because there's not a long wait time and they have spicy levels!

As someone who loves spicy food, I eat my ramen with the level fire all the time. If you can handle really spicy food then fire will be nothing to you. I also love how flavorful and fresh their ramen is. Every time it comes out, it's always super hot and fresh, never lukewarm or anything like that. 

Service is also very nice. The place can get busy but even then, the servers try their best to check up on you, refill your water, etc.

The only problem with this place is that you can not substitute what you take out from your ramen for more of something else. You can only add extra which will cost about an extra $2 for each topping. I don't like bean sprouts or ground beef in my ramen so I always sub it for an egg and more chashu since you only get one piece. My bowl ends up being around $14. 

However, since their ramen is so delicious and their wait time is never over 15 min or so, I will always come back to this place. Especially in winter!",1.0,"4aRespr3mEIxRRoW9tio2A","['favorite', 'ramen', 'places', 'monta', 'chaya', 'probably', 'love', 'place', 'long', 'wait', 'time', 'spicy', 'levels', 'loves', 'spicy', 'food', 'eat', 'ramen', 'level', 'time', 'handle', 'spicy', 'food', 'love', 'flavorful', 'fresh', 'ramen', 'time', 'comes', 'super', 'hot', 'fresh', 'lukewarm', 'like', 'service', 'nice', 'place', 'busy', 'servers', 'try', 'best', 'check', 'refill', 'water', 'problem', 'place', 'substitute', 'ramen', 'add', 'extra', 'cost', 'extra', 'topping', 'like', 'bean', 'sprouts', 'ground', 'beef', 'ramen', 'sub', 'egg', 'chashu', 'piece', 'bowl', 'ends', 'ramen', 'delicious', 'wait', 'time', 'min', 'come', 'place', 'especially', 'winter']","2016-10-12"
"hL4zk44cGQP8ixi4sMLbVg",0,"2016-03-31 16:35:42",0.0,"hHL9jJ6Y3fd-hN6LHCe6Qg",4.0,"Noel was a great help! There was no scummy car salesman act that was put on. No lies, no smoke and mirrors. No pushiness. The only mildly negative thing I can say about my time here is that the credit check took a while (about 45 minutes or more). But that isn't even really the fault of the company! Another big plus is that they wont tell you a car is still on the lot when they know its not. THAT is unheard of. Thank you Noel and Centennial! I love my Honda Cr-V!",1.0,"Q0y6U7NZgASMPH4QnBgE_Q","['noel', 'great', 'help', 'scummy', 'car', 'salesman', 'act', 'lies', 'smoke', 'mirrors', 'pushiness', 'mildly', 'negative', 'thing', 'time', 'credit', 'check', 'took', 'minutes', 'isn', 'fault', 'company', 'big', 'plus', 'wont', 'tell', 'car', 'lot', 'know', 'unheard', 'thank', 'noel', 'centennial', 'love', 'honda', 'cr']","2016-03-31"
"AVLj5MSJD1si-Rl6X6qTXQ",0,"2018-05-11 21:26:26",0.0,"goecd_fwAPru-j3DRqevNQ",2.0,"They changed management and underwent renovations. It's definitely not as good as before, but will do in a pinch. The service is subpar, the food is still passable. My test for dim sum restaurants is to see if they have hot mustard. They still do.",0.0,"tJ3fO5w596jFonaR43hGvg","['changed', 'management', 'underwent', 'renovations', 'definitely', 'good', 'pinch', 'service', 'subpar', 'food', 'passable', 'test', 'dim', 'sum', 'restaurants', 'hot', 'mustard']","2018-05-11"
"k7mmURt3jRG4BxpVMlavcA",0,"2015-10-24 20:17:01",0.0,"yasCAfoGuvWxLzCKFRyzVw",5.0,"I hate to admit this but I've lived in Bainbridge for over 20 years and have never walked into the doors of The Aurora Inn.  Now that I've eaten there 3 times in the last 2 weeks, I can now say I'm a bit embarrassed. Our dinner engagements have allowed us to taste the strip steak, in-bone pork chops, burgers, salads and desserts. ALL of these offerings have been outstanding. I would even go as far as to say the burgers just may be the best in metro Cleveland --- yes, and that means the B-Spot, FlipSide and my bargain favorite Five Guys are also-rans.

The key is fresh ingredients, and excellent preparation. On top of all this, the prices are quite reasonable. A nice find, practically in my back yard.",2.0,"DCaUVB--1zPRIhrvPutzaA","['hate', 'admit', 've', 'lived', 'bainbridge', 'years', 'walked', 'doors', 'aurora', 'inn', 've', 'eaten', 'times', 'weeks', 'bit', 'embarrassed', 'dinner', 'engagements', 'allowed', 'taste', 'strip', 'steak', 'bone', 'pork', 'chops', 'burgers', 'salads', 'desserts', 'offerings', 'outstanding', 'far', 'burgers', 'best', 'metro', 'cleveland', 'yes', 'means', 'spot', 'flipside', 'bargain', 'favorite', 'guys', 'rans', 'key', 'fresh', 'ingredients', 'excellent', 'preparation', 'prices', 'reasonable', 'nice', 'practically', 'yard']","2015-10-24"
"SOhDXouPwa6C5cf-3hcl2Q",0,"2014-10-12 18:29:41",0.0,"pHIFlfgrs2pkxfZbLufU9A",5.0,"We recently reserved a block of rooms for our wedding at the Hilton Monona Terrace. The staff was super accommodating and the rooms were superb! Our guests only could say good things after staying there over the weekend. We can't thank the staff enough for making our weekend extra special and easy to plan.",0.0,"mh-Y8sAPjXjWyMU9tn0vRQ","['recently', 'reserved', 'block', 'rooms', 'wedding', 'hilton', 'monona', 'terrace', 'staff', 'super', 'accommodating', 'rooms', 'superb', 'guests', 'good', 'things', 'staying', 'weekend', 'thank', 'staff', 'making', 'weekend', 'extra', 'special', 'easy', 'plan']","2014-10-12"
"Y5eFSPCS_c3k6ueiCRj6dA",1,"2014-03-29 18:12:27",1.0,"F1S1RurZ8WA4uGlt4D_Njg",4.0,"Loves the ambience. The fresh bread was the highlight for me. Solid food. Okay service. Highly recommend.",2.0,"Cvmyiw5MPLMGXu9Q37T6ig","['loves', 'ambience', 'fresh', 'bread', 'highlight', 'solid', 'food', 'okay', 'service', 'highly', 'recommend']","2014-03-29"
"EDg6FM7MYcNMoqrSoWXUUw",0,"2018-04-12 23:06:44",0.0,"4o-ZAtRxbEt6Dl4_uSnkNA",5.0,"First time visiting this spot!  Friendly service, quick, fresh ingredients, and nicely favored. Had the BBQ Mushroom, Chicken, and Roasted rosemary potato (special) tacos - all delicious. 3 for $10.",1.0,"fxELYAwBpOWlhWSwm2e-sg","['time', 'visiting', 'spot', 'friendly', 'service', 'quick', 'fresh', 'ingredients', 'nicely', 'favored', 'bbq', 'mushroom', 'chicken', 'roasted', 'rosemary', 'potato', 'special', 'tacos', 'delicious']","2018-04-12"
"pKiSzUlBBRNEdTML24piXA",0,"2013-07-29 01:18:08",0.0,"a45kr4RyOOodAEvIEK6o5w",1.0,"Bought the travelzoo deal for a 3 hour tasting with appetizers.  The ad bragged about the chef and the great food and drink...Yes, we got 8 tastes, as promised, but we were prepared for pairings.  Instead we received two meatballs at the end of the tasting. Seemed microwaved and bland.  Would have rather been ready for a tasting only , then i would have eaten ahead of time. I would not recommend this deal.",5.0,"MCmaCRd7Dp2NZG3QOtIz_g","['bought', 'travelzoo', 'deal', 'hour', 'tasting', 'appetizers', 'ad', 'bragged', 'chef', 'great', 'food', 'drink', 'yes', 'got', 'tastes', 'promised', 'prepared', 'pairings', 'instead', 'received', 'meatballs', 'end', 'tasting', 'microwaved', 'bland', 'ready', 'tasting', 'eaten', 'ahead', 'time', 'recommend', 'deal']","2013-07-29"
"Qe4SBDazmTuKb6YDN5Bl6A",1,"2013-02-05 03:49:24",2.0,"zxsn-eNW0_nm-hZNt8Pffw",5.0,"They are open 24 hrs. The employees are always nice and helpful.  Always neat and clean. They have some groceries including cold and frozen. This location has a liquor dept, and the other chick is right - FUNNY older guy there often. Totally talked me into buying whip cream vodka when I just went to the counter to buy a wine opener! I don't even drink foofy booze. I came back home & my husband was like, ""HUH?"" ha ha  (and yes, it's good, the guy was right).",0.0,"8gDUxptOAahGqeehpczxeg","['open', 'hrs', 'employees', 'nice', 'helpful', 'neat', 'clean', 'groceries', 'including', 'cold', 'frozen', 'location', 'liquor', 'dept', 'chick', 'right', 'funny', 'older', 'guy', 'totally', 'talked', 'buying', 'whip', 'cream', 'vodka', 'went', 'counter', 'buy', 'wine', 'opener', 'drink', 'foofy', 'booze', 'came', 'home', 'husband', 'like', 'huh', 'ha', 'ha', 'yes', 'good', 'guy', 'right']","2013-02-05"
"cKXMA7AoyvrFKaZzNOp0nA",1,"2012-04-16 05:41:38",1.0,"poCKgxD9tQvu6sFFUlOT4g",5.0,"$3.99.... STEAK, EGGS, TOAST, AND POTATOES??! need i say more?? 

lol and yet i will just so i can get you all in on this ridiiiiculous deal!! 

important stuff:
-late night special is something like from 10pm-5am, $3.99 steak and eggs
-super friendly service

so you guys are done clubbing, your girlfriends' feet are sore and achy, your boyfriends' wallets are empty and dry, but you're all drunk with the munchies?? go wave down a taxi and get your butts over to tuscany gardens for some bomb@$$ steak and eggs! honestly when my friends told me about this deal/place i really didnt believe them... i mean, seriously... $3.99 are you outta your mind? but indeed my friend's spoke truth...

once you enter this place, you need to take a left and walk down into the casino a bit and the cafe/diner is just straight ahead. there isn't much to say... let the nice lady know what kind of toast you'd like, how you want your steak and eggs and you're good to go. 

will def be back on my next vegas trip!",2.0,"NbLtv50y1gbrZyq09Zjd-A","['steak', 'eggs', 'toast', 'potatoes', 'need', 'lol', 'ridiiiiculous', 'deal', 'important', 'stuff', 'late', 'night', 'special', 'like', 'pm', 'steak', 'eggs', 'super', 'friendly', 'service', 'guys', 'clubbing', 'girlfriends', 'feet', 'sore', 'achy', 'boyfriends', 'wallets', 'dry', 'drunk', 'munchies', 'wave', 'taxi', 'butts', 'tuscany', 'gardens', 'bomb', 'steak', 'eggs', 'honestly', 'friends', 'told', 'deal', 'place', 'didnt', 'believe', 'mean', 'seriously', 'outta', 'mind', 'friend', 'spoke', 'truth', 'enter', 'place', 'need', 'left', 'walk', 'casino', 'bit', 'cafe', 'diner', 'straight', 'ahead', 'isn', 'let', 'nice', 'lady', 'know', 'kind', 'toast', 'like', 'want', 'steak', 'eggs', 'good', 'def', 'vegas', 'trip']","2012-04-16"
